KTPBusinessUnitDivision,KTPBusinessUnitStream,KTPBusinessUnitUnit,KTPBusinessReportingUnit,KTPBusinessUnitLocation
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,Bristol - The Old Mill
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Colchester - PCC
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Liverpool - Kier House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Norwich - Taverham High School
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Welling - Welling School
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Woking - Export House
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Cardiff - St Mellons CP5
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Manchester - St John's House
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,London - MGS
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Speke - Kier House
Construction and Infrastructure,Build UK,Build KME,Build KME,London - Longwalk
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Aldermaston - Griffin Road (AWE Intake Substation)
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Liverpool - Kier House
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Plymouth - EfW
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Leeds - Fearns Wharf
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Canal and River Trust,Exeter - Hawthorn House
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Birmingham - L&G
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Dyfed - Pembroke Dock Community School
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Ipswich - Garrett Anderson Centre
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Manchester - Ashburton Road
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Manchester - Trafford Park
Construction and Infrastructure,International,International Centre,International Payroll,Sandy - Tempsford Hall
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Maple Cross - Maple Lodge Close
Construction and Infrastructure,Highways,Local Highways,Local Highways,Lowestoft - Lound
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Basingstoke - Basing View
Development Property and Business Services,Living,Living Central,Living Central,Sheffield - Castle College
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,York - CYC West Offices
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Leeds - Thorpe Park
Development Property and Business Services,Living,Living Central,Living Central,Bristol - Bedminster
Development Property and Business Services,Living,Living Eastern,Living Eastern,"Wixams Parcel C, Wixams Bedford"
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Bracknell Forest Council
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Rushden - Sapphire House (Procurement)
Construction and Infrastructure,Build UK,Build KME,Build KME,Sandy - Tempsford Hall
Development Property and Business Services,Environmental,Environmental,KIS Environmental Services,Winsford - Woodford Park Industrial Estate
Centre,Group Centre,Fleet,Kier Fleet Services Ltd,Sandy - Tempsford Hall
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Stafford - Staffordshire Police HQ
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Stafford - Staffordshire Police HQ
Construction and Infrastructure,Highways,Local Highways, Torbay Council (TOR2),Paignton - Aspen Way
Construction and Infrastructure,Construction,ClearBOX,ClearBOX Ltd,Basingstoke - Southern Cross
Construction and Infrastructure,Highways,Local Highways,Local Highways,Torquay - Lummaton Quarry
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Speke - Kier House
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Witham - Stepfield
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Kings Cross - Westminster Kingsway College
Construction and Infrastructure,Highways,Local Highways,Local Highways,Ipswich - Phoenix House
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Lincoln - Enterprise House
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Solihull - Tungsten Building
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,London - Cavendish Place
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Not Known
Construction and Infrastructure,Highways,Local Highways,Local Highways,Manchester - Swinton
Construction and Infrastructure,Build UK,Build KME,Build KME,Cambridge - CBC Abcam Project
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Plymouth - Crownhill
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Boston - Aaron Business Centre
Construction and Infrastructure,Build UK,Build London,Build London,London - Greenwich
Development Property and Business Services,Living,Living Central,Living Central,Manor Park Way - Derby
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Basingstoke - Basing View
Development Property and Business Services,Living,Living South West,Living South West,Truro - Victoria Wharf
Construction and Infrastructure,Build UK,Build Scotland & North East,Build Scotland & North East,Aberdeen - Discovery Drive
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Waltham Forest - Low Hall Depot
Development Property and Business Services,Living,Living Northern,Living Northern,Warrington - Birchwood
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Sheffield - Thorncliffe Hall
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Norwood - Ravenswood
Construction and Infrastructure,Highways,Local Highways,Local Highways,Sleaford - Pride Parkway
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities Scotland,Dundee - Perrie Street
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Norwich - Heigham
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Leeds - Thorpe Park
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,St Austell - Dowrglann
Construction and Infrastructure,Highways,Local Highways,Local Highways,Guildford - Merrow Lane
Construction and Infrastructure,Highways,Local Highways,Local Highways,Rushden - Marriott House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Northampton - Berrywood Hospital
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,London - Westminster Kingsway College
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Oldham - Radclyffe School
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Sleaford - Sellwood Court
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Cobham - ACS
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Boston - Aaron Business Centre
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Dummer - KSH
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Fareham - Park Gate
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Thatcham - Chieveley
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Worcester - Strensham
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Esher - KSH
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,London - Blackwall Tunnel
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Winchester - Easton Lane
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Birmingham - Coleshill
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Walsall - Bescot
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Greenwich - Tunnel Avenue
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Basingstoke - Basing View
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Exeter - Ash House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Basingstoke - Rosalind House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Cambridge - Waterbeach
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Exeter - Greendale Business Park
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Exeter - Clyst Works
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Redruth - Scorrier
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Saltash - Notter Bridge
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Birmingham - McLaren
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Penrith - Area 13
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Chorley - Design Services
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Manchester - St John's House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Milnthorpe - Millness
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Preston - Garstang
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Carlisle - Lowhurst
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Basingstoke - Bridgwater House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Reading - Whitley Wood
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Ower - KSH
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Godalming - Hindhead Tunnel
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Bristol - Brunel House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Birmingham - Perry Barr
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Stafford - Stafford Park
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Worcester - Warndon
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Stafford - Doxey
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Bromsgrove - Lydiate Ash
Construction and Infrastructure,Highways,Local Highways,Local Highways,Bromsgrove - Lydiate Ash
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Ansty - KSH
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Wolverhampton - Hilton Park
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Quinton - National Traffic Control Centre
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Shrewsbury - Longden Road
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Warwick - Longbridge
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Shrewsbury - Shirehall
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Telford - Stafford Park
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Keele - KSH
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Home Based
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Croydon - Purley Oaks
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Stevenage - KSH
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Stevenage - The Business and Technology Centre
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Oldbury - BMV JV
Construction and Infrastructure,Highways,Local Highways,Local Highways,Shrewsbury - Longden Road
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Sheffield - Thorncliffe Hall
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Guildford - Merrow Lane
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,London - T1
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Hailsham - Bexhill Road
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Sheffield - Manor Lane
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Bournemouth - Francis Avenue
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Wymondham - Duplex Portacabins
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,St Leonards on Sea - Bulverhythe
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Manchester - Trafford Park
Development Property and Business Services,Living,Living Eastern,Living Eastern,Norwich - St Walstans
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Cambridge - CAPELLA
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Glasgow - Campsie House
Development Property and Business Services,Living,Living Northern,Living Northern,Ellesmere Port - Canalside Operations Hub
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,London - Enfield
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Woking - Export House
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Not Mapped
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Basingstoke - Basing View
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Manchester - St John's House
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Home Based
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Derby - Raynesway
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Basingstoke - Rosalind House
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Bridgwater - Hinkley
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Oldham - Henshaw House
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Exeter - Ash House
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Lincoln - Enterprise House
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Bournemouth - Library
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Lincoln - Witham Park House
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,London - Wrights Road
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Canal and River Trust,Warwick - Canal Road
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Maidstone - Turkey Mill
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Fusion
Construction and Infrastructure,Highways,Local Highways,Local Highways,Wymondham - Duplex Portacabins
Development Property and Business Services,Living,Living Eastern,Living Eastern,Peterborough - Thorpe Road
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - UCL
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Southampton - Turnpike House
Development Property and Business Services,Living,Living Eastern,Living Eastern,Kettering - West Hill
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities Scotland,Falkirk - Middlefield Industrial Estate
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Norwich - Whitlingham
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,London - Foley Street
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities South,Bristol - Bedminster
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Cheadle - Cherry Lane
Construction and Infrastructure,Highways,Local Highways,Local Highways,Northampton - Brixworth
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Blackburn - Plumb Centre
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Manchester - Trafford Park
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Margate - Green Banks MASH
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Huntingdon - Henderson House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Foley Street
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Willesden
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Okehampton - Hatherleigh
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Nottingham - Stirling House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Kettering - Pytchley Depot
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Sittingbourne - Avenue of Remembrance
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Gosport - Wilmott Lane
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Bodmin - Castle Canyke
Construction and Infrastructure,Construction,ClearBOX,ClearBOX Ltd,Basingstoke - Basing View
Development Property and Business Services,Living,Living Eastern,Living Eastern,Aylesbury - Circus Fields
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Brecon - Ysgol-y-Bannau
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Oldham - Library
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,London - Royal Opera House Main Site
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Leeds - Thorpe Park
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Manchester - Fountain Street
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities South,Cardiff - Conway House
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Peterborough - Thorpe Wood
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Stevenage - Maxet House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Sheffield - Manor Lane
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Wymondham - Duplex Portacabins
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Sharnbrook - Colworth
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Fleetwood - Hesketh House
Development Property and Business Services,Living,Living Central,Living Central,Walsall - Harrowby Road
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Wymondham - Duplex Portacabins
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Norwood - Hackney Family Centre
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Kent County Council
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Not Mapped
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,"64 Broadway, Stratford"
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,North Bradley - Sandown Centre
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Not Known
Construction and Infrastructure,Highways,Local Highways,Local Highways,Lincoln - Jarvis House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Arthur Tattersall House
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Broadway - Boardman House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Edgware - Woodlands School
Development Property and Business Services,Environmental,Environmental,Recycling CIC,Bridgwater - Colley Lane Industrial Estate
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Okehampton - Hatherleigh
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Lincoln - Anglian Water
Development Property and Business Services,Living,Living Eastern,Living Eastern,Spalding - Kingfisher Court
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Eastleigh - Turnpike House
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,St Mellons - St Mellons Business Park
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities South,Not Known
Development Property and Business Services,Living,Living Eastern,Living Eastern,Royston - Baldock Road
Development Property and Business Services,Workplace Services,Technical Services,KWS Projects,Basingstoke - Southern Cross
Construction and Infrastructure,Highways,Local Highways,Local Highways,Lincoln - Sturton
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Canal and River Trust,Hatton - Canal Road
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Rushden - Marriott House
Development Property and Business Services,Environmental,Environmental,Recycling CIC,Yeovil - Artillery Road
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Exeter - Woodbury Salterton
Construction and Infrastructure,Build UK,Build Northern, Manchester,Leeds - Thorpe Park
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Leeds - Thorpe Park
Construction and Infrastructure,Build UK,Build Northern, Manchester,Blackrod Primary School
Development Property and Business Services,Living,Living Central,Living Central,Birmingham - Balaam Wood
Development Property and Business Services,Living,Living Eastern,Living Eastern,Rushden - Wymington Road
Construction and Infrastructure,Infrastructure and Utilities,Thames Water,KCD Recharges,Reading - Kemble Court
Construction and Infrastructure,Highways,Major Projects Highways,Major Projects Highways,Sandbach - M6 Tranche 1
Development Property and Business Services,Living,Living Central,Living Central,Bilston - The Woodlands
Development Property and Business Services,Living,Living Northern,Living Northern,Leeds - Century Way
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,Wymondham - Duplex Portacabins
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Bodmin - Tregryls Yard
Development Property and Business Services,Living,Living Central,Living Central,Walsall - Silver Court
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Cheadle - Cherry Lane
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Broadway - Boardman House
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Middlesbrough - Middlesbrough House
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Manchester - Financial Shared Service Centre (FSSC)
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Manchester - Fountain Street
Development Property and Business Services,Living,Living Northern,Living Northern,Huddersfield - Waingate
Development Property and Business Services,Workplace Services,Technical Services,KWS Projects,Portsmouth - HM Naval Base
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Exeter - Hawthorn House
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Cambridge - Building 3000
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Kier Services Maintenance East - Thorncliffe
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Exeter - Greendale Business Park
Construction and Infrastructure,Build UK,Build Central,Build Central,Gloucester - Central House
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Sheffield - Thorncliffe Hall
Development Property and Business Services,Living,Living South West,Living South West,Camborne - North Roskear Road
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Western Power Distribution,Bodmin - Tregryls Yard
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Western Power Distribution,Bristol - Feeder Road
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Lambeth Road - IWM
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Duxford - IWM
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,HMS Belfast - IWM
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,London - Tunnel Avenue
Construction and Infrastructure,Construction,Build Strategic Alliances,Build Strategic Alliances,Liverpool - Kier House
Development Property and Business Services,Living,Living Northern,Living Northern,Riverbank Meadows
Construction and Infrastructure,Highways,Local Highways,Local Highways,Sandy - Tempsford Hall
Development Property and Business Services,Workplace Services,Technical Services,KWS Projects,Basingstoke - Basing View
Development Property and Business Services,Living,Living Northern,Living Northern,Castleford - Monk Fryston
Development Property and Business Services,Living,Living Eastern,Living Eastern,Sandy - Tempsford Hall
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,Leeds - Thorpe Park
Development Property and Business Services,Living,Living Northern,Living Northern,Whitby - High Stakesby Road
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Not Known
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Stoke - Alton House
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Manchester - Ashburton Road
Development Property and Business Services,Living,Living Central,Living Central,Bristol - The Old Mill
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Whitstable - Brook House
Construction and Infrastructure,Highways,Local Highways,Local Highways,Northampton - Old Greens Norton Road
Construction and Infrastructure,Highways,Local Highways,Local Highways,Wellingborough - Bradfield Road
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - St Johns Therapy Centre
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,St Mellons - St Mellons Business Park
Development Property and Business Services,Living,Living Northern,Living Northern,Barnsley - The Hawthorns
Development Property and Business Services,Living,Living Eastern,Living Eastern,Peterborough - Old Hospital Site
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Eastbourne - Courtlands Road
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Basingstoke - Southern Cross
Development Property and Business Services,Living,Living Central,Living Central,Swindon - Highworth Road
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Sandy - Tempsford Hall
Development Property and Business Services,Living,Living Eastern,Living Eastern,Norwich - Saxon Fields
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Not Known
Development Property and Business Services,Living,Living Central,Living Central,The Orchards
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Woking - Export House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Portsmouth - St Mary's Hospital
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Rushden - Marriott House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Southwark Council
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Solihull - Tungsten Building
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - London Borough of Lewisham
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Hatton - Canal Road
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Tottenham Green Leisure Centre
Development Property and Business Services,Workplace Services,Facilities Management,Business Assurance,Basingstoke - Basing View
Development Property and Business Services,Living,Living Central,Living Central,Birmingham - Lyndhurst
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,National Grid JV,Sandy - Tempsford Hall
Development Property and Business Services,Living,Living Central,Living Central,Meadowbank
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - London UCL
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,National Grid JV,Leeds - Thorpe Park
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Western Power Distribution,St Austell - Dowrglann
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Aylsham - Dunkirk
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Bridgend - WG (Waterton Technology Centre)
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Bangor - Mobile North Wales
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Sandy - Tempsford Hall
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Not Known
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Bangor - Ty Menai
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Cardiff - Atradius
Development Property and Business Services,Workplace Services,Technical Services,KWS Projects,London - Lambeth Road
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Stoke - Alton House
Construction and Infrastructure,Highways,Local Highways,Local Highways,Wymondham - Browick Road
Development Property and Business Services,Living,Living Central,Living Central,Birmingham - Chelmsley Lane
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Newcastle - Killingworth
Construction and Infrastructure,Highways,Local Highways, Torbay Council (TOR2),Exeter - Ash House
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Waltham Forest - Argall Avenue
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Gosport - The Depot
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Ellesmere Port - Canalside Operations Hub
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,London - Kingsland Road Hackney
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Basingstoke - Southern Cross
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Toddington - Toddington Depot
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Bedford - Woodlands Annex
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Sandy - Beamish Close
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Whittlesford - Station Road
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Newport Pagnell - Wheldon
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Bishops Stortford - Birchanger
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Suton - Spooner Row
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Colchester - PCC
