KTPBusinessUnitDivision,KTPBusinessUnitStream,KTPBusinessUnitUnit,KTPBusinessReportingUnit,KTPBusinessUnitLocation
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Environment Agency,Norwich - Mason Road
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Bourne - Abbey Road
Construction and Infrastructure,Highways,Local Highways,Local Highways,Kingston upon Thames - Surrey County Council HQ
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Western Power Distribution,Exeter - Greendale Business Park
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Aylesford - New Hythe Business Park
Construction and Infrastructure,Highways,Local Highways,Local Highways,Ringmer - The Broyle
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Kirby Bedon
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Home Based
Construction and Infrastructure,Highways,Local Highways,Local Highways,Manchester - St John's House
Construction and Infrastructure,Build UK,Build Scotland & North East,Build Scotland & North East,Exeter - Hawthorn House
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Norwich - Trowse
Construction and Infrastructure,Highways,Local Highways, Torbay Council (TOR2),Sandy - Tempsford Hall
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Basingstoke - Basing View
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,
Construction and Infrastructure,Construction,Kier Graham Defence Ltd,Kier Graham Defence Ltd,
Construction and Infrastructure,Construction,Construction Centre,Kier Build Ltd,
Construction and Infrastructure,Build UK,Build Centre,Build Centre,
Construction and Infrastructure,Infrastructure and Utilities,Mining,Mining UK,
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Liverpool - Kier House
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,
Construction and Infrastructure,Construction,P22 Framework,P22 Framework,
Construction and Infrastructure,Construction,Build Strategic Alliances,Build Strategic Alliances,
Construction and Infrastructure,Construction,ClearBOX,ClearBOX Ltd,
Construction and Infrastructure,Build UK,Build Northern, Mgmt & Overheads,
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,
Construction and Infrastructure,Highways,Local Highways,Local Highways,Ipswich - Phoenix House (Suffolk Highways)
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Not Mapped
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Huntingdon - Hinchingbrooke Treatment Centre
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Basingstoke - Basing View
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Rushden - Sapphire House (Procurement)
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Solent Office
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Eastleigh - Solent Overhead
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Aylesford - Broadmead House
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Manchester - Swinton
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Cardiff - Conway House
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Aylesford Office
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Stratford-upon-Avon - Warwick Road
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,London - Kings Cross T1
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Manchester - Swinton
